,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
df_top5,0,-156.89497448714724,9.200943474651384,0.0,0.04345783267079706,8.83299951387877,0.0,True,log
df_complete,1,-157.61849162352078,18.899317984034152,0.7235171363735464,0.5068174149982994,8.616908227430716,5.3557851256267055,True,log
df_top4,2,-157.6248047674109,8.272392649515817,0.7298302802636583,6.9716049708216056e-15,8.918737845318477,1.8790662768658775,True,log
df_top3,3,-158.08154888656057,6.535449455002611,1.1865743994133195,0.4226166505116325,9.24789466189398,2.952546083804145,False,log
df_top8,4,-159.1129713229713,13.38956416022764,2.2179968358240556,1.1482295383558879e-14,8.649344525072696,1.9160765481713016,True,log
df_top2,5,-164.14387881544,5.093485453157374,7.24890432829274,0.027108101819252606,8.760498719895164,4.481417663400571,False,log
