,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
df_top3,0,-166.23779656872895,5.998407443782367,0.0,0.4430067331556288,10.495587236337068,0.0,False,log
df_top5,1,-166.83969777869814,10.195688654557166,0.6019012099691766,0.0,9.942372280435244,2.988331682512351,True,log
df_top4,2,-167.7563462401038,9.36184678479023,1.51854967137483,0.0,9.963179682280753,2.1072262610418084,True,log
df_complete,3,-168.14428339697452,25.30467773734118,1.9064868282455847,0.4666150207132583,10.069018125589139,7.961869611978998,True,log
df_top8,4,-171.2308441919985,18.09735296593029,4.993047623269559,0.0,9.577089451476052,4.18427318020417,True,log
df_top2,5,-174.43992581940202,4.434990151418936,8.202129250673096,0.0903782461311129,9.809446620324872,5.159924680165324,False,log
