;rank;elpd_waic;p_waic;elpd_diff;weight;se;dse;warning;scale
df_complete;0;-151,4530165896266;13,443697347984182;0,0;0,5600668076537694;7,345574976649764;0,0;True;log
df_top5;1;-151,88354929217724;6,889571868714121;0,430532702550643;0,20740286551962492;7,395347010093212;3,942460486542912;True;log
df_top4;2;-152,98928069446197;6,199771971953911;1,5362641048353665;0,048390382256854894;7,6611870687508175;4,509231544173433;True;log
df_top8;3;-153,1885633267536;9,490569675305617;1,735546737126999;0,0;7,291216134969666;3,5170430552181005;True;log
df_top3;4;-154,17796207839183;5,598992986843942;2,724945488765236;0,18413994456975386;7,663544021033315;4,9872428134876525;True;log
df_top2;5;-159,95877430467738;4,834709287761226;8,505757715050791;0,0;7,664788093072288;5,808858269907446;True;log
